ID,name,name (es),topic,theme,option,level,Category,Hours,essential idea,essential idea (es),subsubtopic
4.4,Intermolecular forces,Fuerzas intermoleculares,4,chemical bonding and structure,0 checked out of 1,core,Essential idea,3.0,The physical properties of molecular substances result from different types of forces between their molecules.,Las propiedades físicas de las sustancias moleculares son el resultado de las diferentes fuerzas que actúan entre sus moléculas.,"4.4.NoS,4.4.U1,4.4.U2,4.4.AS1,4.4.AS2,4.4.G1,4.4.ToK1,4.4.Aims1"
4.5,Metallic bonding,Enlace metálico,4,chemical bonding and structure,0 checked out of 1,core,Essential idea,0.5,Metallic bonds involve a lattice of cations with delocalized electrons.,Los enlaces metálicos son una red de cationes con electrones deslocalizados.,"4.5.NoS,4.5.U15,4.5.U2,4.5.U3,4.5.AS1,4.5.AS2,4.5.AS3,4.5.G1,4.5.G2,4.5.IM1,4.5.Aims1,4.5.Aims2"
5.1,Measuring energy changes,Medición de variaciones de energía,5,energetics / thermochemistry,0 checked out of 1,core,Essential idea,4.0,The enthalpy changes from chemical reactions can be calculated from their effect on the temperature of their surroundings.,Las variaciones de entalpía de las reacciones químicas se pueden calcular a partir de su efecto sobre la temperatura de los alrededores.,"5.1.NoS1,5.1.NoS2,5.1.U1,5.1.U2,5.1.U3,5.1.U4,5.1.U5,5.1.U6,5.1.AS1,5.1.AS2,5.1.G1,5.1.G2,5.1.G3,5.1.G4,5.1.G5,5.1.G6,5.1.IM1,5.1.ToK1,5.1.Uz1,5.1.Aims1,5.1.Aims2,5.1.Aims3"
5.2,Hess’s Law,Ley de Hess,5,energetics / thermochemistry,0 checked out of 1,core,Essential idea,2.0,In chemical transformations energy can neither be created nor destroyed (the first law of thermodynamics).,"En las transformaciones químicas, la energía no se puede crear ni destruir (primera ley de la termodinámica).","5.2.NoS,5.2.U1,5.2.AS1,5.2.AS2,5.2.AS3,5.2.G1,5.2.G2,5.2.IM1,5.2.ToK1,5.2.Uz1,5.2.Aims1,5.2.Aims2,5.2.Aims3"
5.3,Bond enthalpies,Entalpía de enlace,5,energetics / thermochemistry,0 checked out of 1,core,Essential idea,3.0,Energy is absorbed when bonds are broken and is released when bonds are formed.,"Cuando los enlaces se rompen, se absorbe energía y cuando se forman, se libera energía.","5.3.NoS,5.3.U1,5.3.U2,5.3.AS1,5.3.AS2,5.3.AS3,5.3.G1,5.3.G2,5.3.IM1,5.3.Uz1,5.3.Aims1,5.3.Aims2,5.3.Aims3"
6.1,Collision theory and rates of reaction,Teoría de las colisiones y velocidades de reacción,6,chemical kinetics,0 checked out of 1,core,Essential idea,7.0,"The greater the probability that molecules will collide with sufficient energy and proper orientation, the higher the rate of reaction.","Cuanto mayor sea la probabilidad de que las moléculas choquen con energía suficiente y orientación adecuada, mayor será la velocidad de reacción.","6.1.NoS,6.1.U1,6.1.U2,6.1.U3,6.1.U4,6.1.U5,6.1.AS1,6.1.AS2,6.1.AS3,6.1.AS4,6.1.AS5,6.1.AS6,6.1.G1,6.1.G2,6.1.IM1,6.1.ToK1,6.1.Aims1,6.1.Aims2,6.1.Aims3,6.1.Aims4,6.1.Aims5"
7.1,Equilibrium,Equilibrio,7,equilibrium,0 checked out of 1,core,Essential idea,4.5,Many reactions are reversible. These reactions will reach a state of equilibrium when the rates of the forward and reverse reaction are equal. The position of equilibrium can be controlled by changing the conditions.,Muchas reacciones son reversibles. Estas reacciones alcanzarán un estado de equilibrio cuando las velocidades de reacción directa e inversa sean iguales. La posición de equilibrio se puede controlar variando esas condiciones.,"7.1.NoS1,7.1.NoS2,7.1.U1,7.1.U2,7.1.U3,7.1.U4,7.1.U5,7.1.AS1,7.1.AS2,7.1.AS3,7.1.AS4,7.1.G1,7.1.G2,7.1.G3,7.1.IM1,7.1.ToK1,7.1.ToK2,7.1.ToK3,7.1.Uz1,7.1.Aims1,7.1.Aims2,7.1.Aims3"
8.1,Theories of acids and bases,Teorías de ácidos y bases,8,acids and bases,0 checked out of 1,core,Essential idea,1.5,Many reactions involve the transfer of a proton from an acid to a base.,Muchas reacciones implican la transferencia de un protón de un ácido a una base.,"8.1.NoS1,8.1.NoS2,8.1.NoS3,8.1.U1,8.1.U2,8.1.U3,8.1.AS1,8.1.AS2,8.1.G1,8.1.G2,8.1.G3,8.1.G4,8.1.IM1,8.1.ToK1,8.1.Aims1"
8.2,Properties of acids and bases,Propiedades de ácidos y bases,8,acids and bases,0 checked out of 1,core,Essential idea,1.0,"The characterization of an acid depends on empirical evidence such as the production of gases in reactions with metals, the colour changes of indicators or the release of heat in reactions with metal oxides and hydroxides.","La caracterización de un ácido depende de la evidencia empírica como la producción de gases cuando reacciona con los metales, las variaciones de color de los indicadores o la liberación de calor cuando reacciona con óxidos e hidróxidos metálicos.","8.2.NoS,8.2.U1,8.2.U2,8.2.AS1,8.2.AS2,8.2.AS3,8.2.G1,8.2.G2,8.2.Uz1,8.2.Aims1"
8.3,The pH scale,La escala de pH,8,acids and bases,0 checked out of 1,core,Essential idea,2.0,"The pH scale is an artificial scale used to distinguish between acid, neutral and basic/alkaline solutions.","La escala de pH es una escala artificial usada para distinguir entre soluciones ácidas, neutras y básicas/alcalinas.","8.3.NoS,8.3.U1,8.3.U2,8.3.U3,8.3.U4,8.3.AS1,8.3.AS2,8.3.G1,8.3.G2,8.3.G3,8.3.G4,8.3.ToK1,8.3.Aims1,8.3.Aims2"
8.4,Strong and weak acids and bases,Ácidos y bases fuertes y débiles,8,acids and bases,0 checked out of 1,core,Essential idea,1.0,The pH depends on the concentration of the solution. The strength of acids or bases depends on the extent to which they dissociate in aqueous solution.,El pH depende de la concentración de la solución. La fuerza de ácidos y bases depende de su grado de disociación en solución acuosa.,"8.4.NoS1,8.4.NoS2,8.4.NoS3,8.4.U1,8.4.U2,8.4.U3,8.4.U4,8.4.AS1,8.4.G1,8.4.G2,8.4.ToK1,8.4.Aims1,8.4.Aims2"
8.5,Acid deposition,Deposición ácida,8,acids and bases,0 checked out of 1,core,Essential idea,1.0,"Increased industrialization has led to greater production of nitrogen and sulfur oxides leading to acid rain, which is damaging our environment. These problems can be reduced through collaboration with national and intergovernmental organizations.","La industrialización creciente ha conducido a una mayor producción de óxidos de nitrógeno y azufre; estos provocan la lluvia ácida, la cual, a su vez, está deteriorando nuestro medio ambiente. Estos problemas se pueden reducir con la colaboración de organizaciones nacionales e intergubernamentales.","8.5.NoS,8.5.U1,8.5.U2,8.5.U3,8.5.AS1,8.5.AS2,8.5.AS3,8.5.IM1,8.5.ToK1,8.5.Aims1,8.5.Aims2,8.5.Aims3"
9.1,Oxidation and reduction,Oxidación y reducción,9,redox processes,0 checked out of 1,core,Essential idea,4.0,Redox (reduction–oxidation) reactions play a key role in many chemical and biochemical processes.,Las reacciones rédox (reducción-oxidación) juegan un papel fundamental en muchos procesos químicos y bioquímicos.,"9.1.NoS,9.1.U1,9.1.U2,9.1.U3,9.1.U4,9.1.U5,9.1.AS1,9.1.AS2,9.1.AS3,9.1.AS4,9.1.AS5,9.1.AS6,9.1.AS7,9.1.G1,9.1.G2,9.1.G3,9.1.G4,9.1.IM1,9.1.ToK1,9.1.ToK2,9.1.Uz1,9.1.Uz2,9.1.Uz3,9.1.Uz4,9.1.Uz5,9.1.Aims1,9.1.Aims2"
9.2,Electrochemical cells,Celdas electroquímicas,9,redox processes,0 checked out of 1,core,Essential idea,4.0,Voltaic cells convert chemical energy to electrical energy and electrolytic cells convert electrical energy to chemical energy.,Las pilas voltaicas convierten energía química en energía eléctrica y las celdas electrolíticas convierten energía eléctrica en energía química.,"9.2.NoS,9.2.U1,9.2.U2,9.2.U3,9.2.U4,9.2.AS1,9.2.AS2,9.2.AS3,9.2.AS4,9.2.AS5,9.2.G1,9.2.IM1,9.2.ToK1,9.2.Uz1,9.2.Uz2,9.2.Aims1,9.2.Aims2,9.2.Aims3"
10.1,Fundamentals of organic chemistry,Fundamentos de química orgánica,10,organic chemistry,0 checked out of 1,core,Essential idea,4.5,Organic chemistry focuses on the chemistry of compounds containing carbon.,La química orgánica trata la química de los compuestos que contienen carbono.,"10.1.NoS1,10.1.NoS2,10.1.U1,10.1.U2,10.1.U3,10.1.U4,10.1.U5,10.1.U6,10.1.AS1,10.1.AS2,10.1.AS3,10.1.AS4,10.1.AS5,10.1.AS6,10.1.AS7,10.1.AS8,10.1.G1,10.1.G2,10.1.G3,10.1.G4,10.1.IM1,10.1.IM2,10.1.ToK1,10.1.ToK2,10.1.Uz1,10.1.Uz2,10.1.Aims1,10.1.Aims2,10.1.Aims3,10.1.Aims4"
10.2,Functional group chemistry,Química de los grupos funcionales,10,organic chemistry,0 checked out of 1,core,Essential idea,6.5,"Structure, bonding and chemical reactions involving functional group interconversions are key strands in organic chemistry.","La estructura, el enlace y las reacciones químicas que implican las interconversiones entre grupos funcionales son las claves de la química orgánica.","10.2.NoS,10.2.U1,10.2.U2,10.2.U3,10.2.U4,10.2.U5,10.2.U6,10.2.AS1,10.2.AS2,10.2.AS3,10.2.AS4,10.2.AS5,10.2.AS6,10.2.AS7,10.2.AS8,10.2.AS9,10.2.G1,10.2.G2,10.2.IM1,10.2.IM2,10.2.Uz1,10.2.Uz2,10.2.Uz3,10.2.Uz4,10.2.Uz5,10.2.Aims1,10.2.Aims2"
11.1,Uncertainties and errors in measurement and results,Incertidumbres y errores en la medición y los resultados,11a,measurement and data processing,0 checked out of 1,core,Essential idea,2.0,"All measurement has a limit of precision and accuracy, and this must be taken into account when evaluating experimental results.",Todas las mediciones tienen un límite de precisión y exactitud y esto se debe tener en cuenta al evaluar resultados experimentales.,"11.1.NoS,11.1.U1,11.1.U2,11.1.U3,11.1.U4,11.1.U5,11.1.AS1,11.1.AS2,11.1.AS3,11.1.AS4,11.1.AS5,11.1.AS6,11.1.AS7,11.1.AS8,11.1.G1,11.1.G2,11.1.G3,11.1.IM1,11.1.ToK1,11.1.Uz1,11.1.Uz2,11.1.Aims1,11.1.Aims2"
11.2,Graphical techniques,Técnicas gráficas,11a,measurement and data processing,0 checked out of 1,core,Essential idea,2.0,Graphs are a visual representation of trends in data,Los gráficos son representaciones visuales de las tendencias que presentan los datos.,"11.2.NoS,11.2.U1,11.2.U2,11.2.U3,11.2.AS1,11.2.AS2,11.2.AS3,11.2.AS4,11.2.IM1,11.2.ToK1,11.2.Uz1,11.2.Aims1"
11.3,Spectroscopic identification of organic compounds,Identificación espectroscópica de compuestos orgánicos,11b,spectroscopic identification of organic compounds,0 checked out of 1,core,Essential idea,6.0,"Analytical techniques can be used to determine the structure of a compound, analyse the composition of a substance or determine the purity of a compound. Spectroscopic techniques are used in the structural identification of organic and inorganic compounds.","Las técnicas analíticas se pueden usar para determinar la estructura de un compuesto, analizar la composición de una sustancia o determinar la pureza de un compuesto. Las técnicas espectroscópicas se usan para la identificación estructural de compuestos orgánicos e inorgánicos.","11.3.NoS1,11.3.NoS2,11.3.U1,11.3.U2,11.3.AS1,11.3.AS2,11.3.G1,11.3.G2,11.3.G3,11.3.IM1,11.3.ToK1,11.3.Uz1,11.3.Uz2,11.3.Aims1,11.3.Aims2"
12.1,Electrons in atoms,Los electrones en los átomos,12,atomic structure,0 checked out of 1,HL,Essential idea,2.0,The quantized nature of energy transitions is related to the energy states of electrons in atoms and molecules.,La naturaleza cuántica de las transiciones de energía se relaciona con los estados energéticos de los electrones en los átomos y moléculas.,"12.1.NoS,12.1.U1,12.1.U2,12.1.U3,12.1.AS1,12.1.AS2,12.1.AS3,12.1.AS4,12.1.G1,12.1.G2,12.1.IM1,12.1.ToK1,12.1.ToK2,12.1.Uz1,12.1.Aims1"
13.1,First-row d-block elements,Elementos de la primera fila del bloque d,13,periodicity,0 checked out of 1,HL,Essential idea,2.0,The transition elements have characteristic properties; these properties are related to their all having incomplete d sublevels.,Los elementos de transición tienen propiedades características; estas propiedades se relacionan con el hecho de que todos tienen subniveles d incompletos.,"13.1.NoS,13.1.U1,13.1.U2,13.1.U3,13.1.AS1,13.1.AS2,13.1.AS3,13.1.AS4,13.1.G1,13.1.IM1,13.1.ToK1,13.1.Aims1,13.1.Aims2"
13.2,Coloured complexes,Complejos coloreados,13,periodicity,0 checked out of 1,HL,Essential idea,2.0,"d-orbitals have the same energy in an isolated atom, but split into two sub-levels in a complex ion. The electric field of ligands may cause the d-orbitals in complex ions to split so that the energy of an electron transition between them corresponds to a photon of visible ligh","En un átomo aislado, los orbitales d tienen la misma energía, pero en un ion complejo se desdoblan en dos subniveles. El campo eléctrico de los ligandos puede provocar que los orbitales d en los iones complejos se desdoblen de modo que la energía de una transición electrónica entre ellos corresponde a la de un fotón de luz visible.","13.2.NoS1,13.2.NoS2,13.2.U1,13.2.U2,13.2.U3,13.2.AS1,13.2.AS2,13.2.G1,13.2.G2,13.2.G3,13.2.G4,13.2.Aims1,13.2.Aims2,13.2.Aims3"
14.1,Covalent bonding and electron domain and molecular geometries,Aspectos adicionales del enlace covalente y estructura,14,chemical bonding and structure,0 checked out of 1,HL,Essential idea,5.0,Larger structures and more in-depth explanations of bonding systems often require more sophisticated concepts and theories of bonding.,"Para explicar con mayor profundidad estructuras más grandes, con frecuencia se requieren conceptos y teorías de enlace más sofisticados.","14.1.NoS,14.1.U1,14.1.U2,14.1.U3,14.1.U4,14.1.U5,14.1.AS1,14.1.AS2,14.1.AS3,14.1.AS4,14.1.AS5,14.1.AS6,14.1.G1,14.1.G2,14.1.IM1,14.1.IM2,14.1.ToK1,14.1.Uz1,14.1.Uz2,14.1.Aims1,14.1.Aims2,14.1.Aims3"
14.2,Hybridization,Hibridación,14,chemical bonding and structure,0 checked out of 1,HL,Essential idea,2.0,Hybridization results from the mixing of atomic orbitals to form the same number of new equivalent hybrid orbitals that can have the same mean energy as the contributing atomic orbitals.,La hibridación es consecuencia de la combinación de orbitales atómicos para formar el mismo número de orbitales nuevos híbridos equivalentes que tienen la misma energía media que los orbitales atómicos que los forman.,"14.2.NoS,14.2.U1,14.2.AS1,14.2.AS2,14.2.G1,14.2.ToK1,14.2.Aims1"
15.1,Energy cycles,Ciclos de energía,15,energetics / thermochemistry,0 checked out of 1,HL,Essential idea,3.0,The concept of the energy change in a single step reaction being equivalent to the summation of smaller steps can be applied to changes involving ionic compounds.,El concepto de que la variación de energía de una reacción en una sola etapa es equivalente a la suma de etapas más pequeñas se puede aplicar a los cambios en los que intervienen compuestos iónicos.,"15.1.NoS,15.1.U1,15.1.U2,15.1.AS1,15.1.AS2,15.1.AS3,15.1.AS4,15.1.AS5,15.1.G1,15.1.G2,15.1.G3,15.1.IM1,15.1.Uz1,15.1.Aims1,15.1.Aims2,15.1.Aims3"
15.2,Entropy and spontaneity,Entropía y espontaneidad,15,energetics / thermochemistry,0 checked out of 1,HL,Essential idea,4.0,A reaction is spontaneous if the overall transformation leads to an increase in total entropy (system plus surroundings). The direction of spontaneous change always increases the total entropy of the universe at the expense of energy available to do useful work. This is known as the second law of thermodynamics.,Una reacción es espontánea si la transformación total produce un aumento de la entropía total (sistema más alrededores). La dirección del cambio espontáneo siempre aumenta la entropía total del universo a expensas de la energía disponible para realizar trabajo útil. Esto se conoce como segundo principio de la termodinámica.,"15.2.NoS,15.2.U1,15.2.U2,15.2.U3,15.2.AS1,15.2.AS2,15.2.AS3,15.2.AS4,15.2.G1,15.2.G2,15.2.G3,15.2.IM1,15.2.ToK1,15.2.Aims1,15.2.Aims2"
16.1,Rate expression and reaction mechanism,Expresión de velocidad y mecanismo de reacción,16,chemical kinetics,0 checked out of 1,HL,Essential idea,4.0,"Rate expressions can only be determined empirically and these limit possible reaction mechanisms. In particular cases, such as a linear chain of elementary reactions, no equilibria and only one significant activation barrier, the rate equation is equivalent to the slowest step of the reaction.","Las expresiones de velocidad solo se pueden determinar empíricamente y esto limita los posibles mecanismos de reacción. En casos particulares, como el de las reacciones elementales de cadena lineal, sin equilibrios y con una sola barrera de activación significativa, la ecuación de velocidad es equivalente a la etapa más lenta de la reacción.","16.1.NoS,16.1.U1,16.1.U2,16.1.U3,16.1.U4,16.1.U5,16.1.U6,16.1.AS1,16.1.AS2,16.1.AS3,16.1.G1,16.1.G2,16.1.G3,16.1.G4,16.1.G5,16.1.G6,16.1.IM1,16.1.ToK1,16.1.Uz1,16.1.Aims1"
16.2,Activation energy,Energía de activación,16,chemical kinetics,0 checked out of 1,HL,Essential idea,2.0,The activation energy of a reaction can be determined from the effect of temperature on reaction rate,La energía de activación de una reacción se puede determinar a partir del efecto de la temperatura sobre la velocidad de dicha reacción.,"16.2.NoS,16.2.U1,16.2.U2,16.2.U3,16.2.AS1,16.2.AS2,16.2.AS3,16.2.AS4,16.2.G1,16.2.G2,16.2.Uz1,16.2.Uz2,16.2.Aims1,16.2.Aims2,16.2.Aims3"
17.1,The equilibrium law,Ley de equilibrio,17,equilibrium,0 checked out of 1,HL,Essential idea,4.0,The position of equilibrium can be quantified by the equilibrium law. The equilibrium constant for a particular reaction only depends on the temperature.,La ley de equilibrio cuantifica la posición de equilibrio. La constante de equilibrio para una reacción en particular solo depende de la temperatura.,"17.1.NoS,17.1.U1,17.1.U2,17.1.U3,17.1.AS1,17.1.AS2,17.1.AS3,17.1.G1,17.1.G2,17.1.G3,17.1.ToK1,17.1.ToK2,17.1.ToK3,17.1.Uz1,17.1.Aims1,17.1.Aims2"
18.1,Lewis acids and bases,Ácidos y bases de Lewis,18,acids and bases,0 checked out of 1,HL,Essential idea,1.0,The acid–base concept can be extended to reactions that do not involve proton transfer.,El concepto de ácido-base se puede extender a reacciones que no implican transferencia de protones.,"18.1.NoS,18.1.U1,18.1.U2,18.1.U3,18.1.AS1,18.1.G1,18.1.G2,18.1.IM1,18.1.ToK1,18.1.Aims1,18.1.Aims2"
18.2,Calculations involving acids and bases,Cálculos con ácidos y bases,18,acids and bases,0 checked out of 1,HL,Essential idea,4.0,The equilibrium law can be applied to acid–base reactions. Numerical problems can be simplified by making assumptions about the relative concentrations of the species involved. The use of logarithms is also significant here.,La ley de equilibrio se puede aplicar a las reacciones ácido-base. Los problemas numéricos se pueden simplificar realizando suposiciones acerca de las concentraciones relativas de las especies implicadas. El uso de logaritmos también es importante.,"18.2.NoS,18.2.U1,18.2.U2,18.2.U3,18.2.AS1,18.2.AS2,18.2.G1,18.2.G2,18.2.G3,18.2.G4,18.2.G5,18.2.G6,18.2.IM1,18.2.Aims1"
18.3,pH curves,Curvas de pH,18,acids and bases,0 checked out of 1,HL,Essential idea,5.0,pH curves can be investigated experimentally but are mathematically determined by the dissociation constants of the acid and base. An indicator with an appropriate end point can be used to determine the equivalence point of the reaction.,"Las curvas de pH se pueden investigar experimentalmente, pero están determinadas matemáticamente por las constantes de disociación del ácido y la base. Se puede usar un indicador con un punto final adecuado para determinar el punto de equivalencia de la reacción.","18.3.NoS,18.3.U1,18.3.U2,18.3.U3,18.3.U4,18.3.U5,18.3.AS1,18.3.AS2,18.3.AS3,18.3.AS4,18.3.G1,18.3.G2,18.3.G3,18.3.G4,18.3.G5,18.3.G6,18.3.ToK1,18.3.Aims1,18.3.Aims2"
19.1,Electrochemical cells,Celdas electroquímicas,19,redox processes,0 checked out of 1,HL,Essential idea,6.0,Energy conversions between electrical and chemical energy lie at the core of electrochemical cells.,Las conversiones entre energía eléctrica y química son el núcleo de las celdas electroquímicas.,"19.1.NoS1,19.1.NoS2,19.1.U1,19.1.U2,19.1.U3,19.1.U4,19.1.U5,19.1.U6,19.1.AS1,19.1.AS2,19.1.AS3,19.1.AS4,19.1.AS5,19.1.AS6,19.1.AS7,19.1.G1,19.1.G2,19.1.G3,19.1.G4,19.1.IM1,19.1.ToK1,19.1.Uz1,19.1.Uz2,19.1.Uz3,19.1.Aims1"
20.1,Types of organic reactions,Tipos de reacciones orgánicas,20,organic chemistry,0 checked out of 1,HL,Essential idea,7.0,"Key organic reaction types include nucleophilic substitution, electrophilic addition, electrophilic substitution and redox reactions. Reaction mechanisms vary and help in understanding the different types of reaction taking place.","Los tipos de reacciones orgánicas fundamentales son la sustitución nucleófila, la adición electrófila, la sustitución electrófila y las reacciones rédox. Los mecanismos de reacción varían y ayudan a comprender los diferentes tipos de reacción que se producen.","20.1.NoS1,20.1.NoS2,20.1.U1,20.1.U2,20.1.U3,20.1.U4,20.1.U5,20.1.U6,20.1.U7,20.1.U8,20.1.AS1,20.1.AS2,20.1.AS3,20.1.AS4,20.1.AS5,20.1.AS6,20.1.AS7,20.1.G1,20.1.G2,20.1.G3,20.1.G4,20.1.G5,20.1.IM1,20.1.Uz1,20.1.Uz2,20.1.Aims1,20.1.Aims2,20.1.Aims3"
20.2,Synthetic routes,Rutas de síntesis,20,organic chemistry,0 checked out of 1,HL,Essential idea,2.0,Organic synthesis is the systematic preparation of a compound from a widely available starting material or the synthesis of a compound via a synthetic route that often can involve a series of different steps,La síntesis orgánica es el proceso sistemático de preparación de un compuesto a partir de una amplia variedad de materiales iniciales o la síntesis de un compuesto por medio de una ruta que puede suponer una serie de etapas diferentes.,"20.2.NoS,20.2.U1,20.2.U2,20.2.AS1,20.2.G1,20.2.G2,20.2.IM1,20.2.ToK1,20.2.Uz1,20.2.Aims1,20.3.Aims1"
20.3,Stereoisomerism,Estereoisomería,20,organic chemistry,0 checked out of 1,HL,Essential idea,3.0,"Stereoisomerism involves isomers which have different arrangements of atoms in space but do not differ in connectivity or bond multiplicity (ie whether single, double or triple) between the isomers themselves.","La estereoisomería trata de isómeros que tienen diferente disposición de átomos en el espacio pero que no se diferencian en cuanto a la forma de unión de sus átomos o la multiplicidad de los enlaces (p. ej., si son simples, dobles o triples) entre ellos mismos.","20.3.NoS,20.3.U1,20.3.U2,20.3.U3,20.3.U4,20.3.U5,20.3.AS1,20.3.AS2,20.3.AS3,20.3.AS4,20.3.AS5,20.3.G1,20.3.G2,20.3.G3,20.3.IM1,20.3.ToK1,20.3.ToK2,20.3.ToK3,20.3.Uz1,20.3.Uz2,20.3.Uz3"
