ID,topic,subtopic,Category,level,Hours,content,glossary,content (es)
1.1.Uz3,1,1.1,Utilization,core,,Freeze-drying of foods.,Freezing,Secado por congelación de alimentos
1.1.Aims1,1,1.1,Aims,core,,Aim 8: The negative environmental impacts of refrigeration and air conditioning systems are significant. The use of CFCs as refrigerants has been a major contributor to ozone depletion.,Atmosphere (Ozone depletion),Objetivo 8: Los sistemas de refrigeración y aire acondicionado influyen negativamente sobre el ambiente. El uso de los CFC como refrigerantes ha sido uno de los principales contribuyentes a la desaparición de la capa de ozono.
1.2.NoS,1,1.2,Nature of Science,core,,Concepts—the concept of the mole developed from the related concept of “equivalent mass” in the early 19th century. (2.3),"Stoichiometry,Mole",Conceptos: El concepto de mol se desarrolló a partir del concepto de “peso equivalente” a principios del siglo XIX. (2.3)
1.2.U1,1,1.2,Understandings,core,,"The mole is a fixed number of particles and refers to the amount, n, of substance.","Amount,Water of crystallisation,Stoichiometry,Mole,Particle (in kinetic theory)","El mol es un número fijo de partículas y se refiere a la cantidad, n, de sustancia."
1.2.U2,1,1.2,Understandings,core,,Masses of atoms are compared on a scale relative to 12C and are expressed as relative atomic mass (Ar) and relative formula/molecular mass (Mr).,"Formula mass,Relative atomic mass,Molar mass,Molecular formula,Molecular mass,Molecule",Las masas de los átomos se comparan en una escala relativa al 12C y se expresan como masa atómica relativa (Ar) y masa fórmula/molecular relativa (Mr).
1.2.U3,1,1.2,Understandings,core,,Molar mass (M) has the units g mol-1.,"Aqueous solution,Molar mass",Las unidades de masa molar (M) son g mol-1.
1.2.U4,1,1.2,Understandings,core,,The empirical formula and molecular formula of a compound give the simplest ratio and the actual number of atoms present in a molecule respectively.,"Empirical formula,Compound,Molecular formula,Molecule,Atomicity","La fórmula empírica y la fórmula molecular de un compuesto dan la proporción más simple y el número real de átomos presentes en una molécula, respectivamente."
1.2.AS1,1,1.2,Applications and skills,core,,"Calculation of the molar masses of atoms, ions, molecules and formula units.","Stoichiometry,Formula mass,Formula unit,Molar mass","Cálculo de masas molares de átomos, iones, moléculas y unidades fórmula."
1.2.AS2,1,1.2,Applications and skills,core,,"Solution of problems involving the relationships between the number of particles, the amount of substance in moles and the mass in grams.","Amount,Aqueous solution,Avogadro’s hypothesis / law,Stoichiometry,Mole,Law of conservation of mass,Mass number","Resolución de problemas que incluyan relaciones entre el número de partículas, la cantidad de sustancia en moles y la masa en gramos."
1.2.AS3,1,1.2,Applications and skills,core,,Interconversion of the percentage composition by mass and the empirical formula.,"Empirical formula,Percentage composition,Combustion analysis",Interconversión entre composición porcentual en masa y fórmula empírica.
1.2.AS4,1,1.2,Applications and skills,core,,Determination of the molecular formula of a compound from its empirical formula and molar mass.,"Empirical formula,Molar mass,Molecular formula,Molecular mass,Molecule",Determinación de la fórmula molecular de un compuesto a partir de su fórmula empírica y su masa molar.
1.2.AS5,1,1.2,Applications and skills,core,,Obtaining and using experimental data for deriving empirical formulas from reactions involving mass changes.,"Empirical formula,Reactant,Product,Combustion analysis",Obtención y uso de datos experimentales para deducir fórmulas empíricas a partir de reacciones que impliquen cambios de masa.
1.2.G1,1,1.2,Guidance,core,,The value of the Avogadro’s constant (L or NA) is given in the data booklet in section 2 and will be given for paper 1 questions.,"Avogadro constant,Avogadro’s hypothesis / law",En la sección 2 del cuadernillo de datos está el valor de la constante de Avogadro (L o NA) y para las preguntas de la prueba 1 se dará como dato.
1.2.G2,1,1.2,Guidance,core,,The generally used unit of molar mass (g mol-1) is a derived SI unit.,"Molar mass,SI Units",La unidad de masa molar que se usa generalmente (g mol-1) es una unidad derivada del SI.
1.2.IM1,1,1.2,International-mindedness,core,,"The SI system (Système International d’Unités) refers to the metric system of measurement, based on seven base units.",SI Units,"El sistema SI (Sistema Internacional de Unidades) se refiere al sistema métrico de medición, basado en siete unidades fundamentales."
1.2.IM2,1,1.2,International-mindedness,core,,"The International Bureau of Weights and Measures (BIPM according to its French initials) is an international standards organization, which aims to ensure uniformity in the application of SI units around the world.",SI Units,"La Oficina Internacional de Pesas y Medidas (BIPM por sus siglas en francés) es una organización internacional de estándares, cuyo objetivo es asegurar la uniformidad de aplicación de las unidades del SI en todo el mundo."
1.2.ToK1,1,1.2,Theory of Knowledge,core,,The magnitude of Avogadro’s constant is beyond the scale of our everyday experience. How does our everyday experience limit our intuition?,Avogadro constant,La magnitud de la constante de Avogadro excede la escala de nuestra experiencia cotidiana. ¿De qué forma nuestra experiencia cotidiana limita nuestra intuición?
1.2.Uz1,1,1.2,Utilization,core,,"Stoichiometric calculations are fundamental to chemical processes in research and industry, for example in the food, medical, pharmaceutical and manufacturing industries.",Dilution,"Los cálculos estequiométricos son fundamentales para los procesos químicos de investigación e industriales, por ejemplo, en la industria alimenticia, médica, farmacéutica y manufacturera."
1.2.Uz2,1,1.2,Utilization,core,,The molar volume for crystalline solids is determined by the technique of X- ray crystallography.,Anhydrous salt,El volumen molar de sólidos cristalinos se determina por medio de la técnica de cristalografía de rayos X.
1.2.Aims1,1,1.2,Aims,core,,"Experiments could include percent mass of hydrates, burning of magnesium or calculating Avogadro’s number.","Hydrated ion,Hydrate,Hydration (of ions),Combustion,Mass number","Los experimentos podrían incluir el porcentaje en masa de hidratos, combustión de magnesio o cálculo del número de Avogadro."
1.2.Aims2,1,1.2,Aims,core,,Data loggers can be used to measure mass changes during reactions.,,Para medir los cambios de masa que se producen durante las reacciones se pueden usar registradores de datos.
1.3.NoS,1,1.3,Nature of Science,core,,Making careful observations and obtaining evidence for scientific theories—Avogadro's initial hypothesis. (1.8),Avogadro’s hypothesis / law,Realizar observaciones cuidadosas y obtener evidencias para las teorías científicas. Hipótesis inicial de Avogadro. (1.8)
1.3.U1,1,1.3,Understandings,core,,Reactants can be either limiting or excess.,"Stoichiometry,Excess reactant,Reacting masses,Reactant,Product,Limiting reactant,Completion (in reaction)",Los reactivos pueden ser limitantes o estar en exceso.
1.3.U2,1,1.3,Understandings,core,,The experimental yield can be different from the theoretical yield.,"Theoretical yield,Side reactions,Reactant,Product,Completion (in reaction)",El rendimiento experimental puede ser diferente del teórico.
1.3.U3,1,1.3,Understandings,core,,Avogadro’s law enables the mole ratio of reacting gases to be determined from volumes of the gases.,"Density,Reactant,Product,Pressure law,Gas laws,Gas,Pressure,Pascal,Mole",La ley de Avogadro permite determinar la relación molar de los gases reaccionantes a partir de los volúmenes de los gases.
1.3.U4,1,1.3,Understandings,core,,The molar volume of an ideal gas is a constant at specified temperature and pressure.,"Temperature,Ideal gas constant,Ideal gas,Molar gas volume,Gas,Pressure law,Gas laws,Pressure,Pascal,Kelvin scale,Kinetic energy (of particles in a gas)",El volumen molar de un gas ideal es una constante a temperatura y presión determinadas.
1.3.U5,1,1.3,Understandings,core,,The molar concentration of a solution is determined by the amount of solute and the volume of solution.,"Amount,Concentration,Concentrated,Dilute,Molarity,Volumetric analysis",La concentración molar de una solución se determina por la cantidad de soluto y el volumen de la solución.
1.3.U6,1,1.3,Understandings,core,,A standard solution is one of known concentration.,"Standard solution,Concentration,Solution,Primary standard",Una solución estándar es aquella cuya concentración es conocida.
1.3.AS1,1,1.3,Applications and skills,core,,"Solution of problems relating to reacting quantities, limiting and excess reactants, theoretical, experimental and percentage yields.","Theoretical yield,Side reactions,Excess reactant,Reacting masses,Percentage yield,Limiting reactant,Combustion analysis","Resolución de problemas relacionados con las cantidades reaccionantes, reactivos limitantes y en exceso, rendimiento teórico, experimental y porcentual."
1.3.AS2,1,1.3,Applications and skills,core,,Calculation of reacting volumes of gases using Avogadro’s law.,"Stoichiometry,Density,Reactant,Product,Pressure law,Gas laws,Gas,Pressure",Cálculo de volúmenes de gases reaccionantes usando la ley de Avogadro.
1.3.AS3,1,1.3,Applications and skills,core,,"Solution of problems and analysis of graphs involving the relationship between temperature, pressure and volume for a fixed mass of an ideal gas.","Temperature,Real gas,Molar gas volume,Gas,Pressure law,Pressure,Pascal,Kelvin scale,Kinetic energy (of particles in a gas)","Resolución de problemas y análisis de gráficos que impliquen relaciones entre temperatura, presión y volumen de una masa fija de un gas ideal."
1.3.AS4,1,1.3,Applications and skills,core,,Solution of problems relating to the ideal gas equation.,"Pressure law,Pressure,Pascal",Resolución de problemas relacionados con la ecuación de los gases ideales.
1.3.AS5,1,1.3,Applications and skills,core,,Explanation of the deviation of real gases from ideal behaviour at low temperature and high pressure.,"Temperature,Pressure",Explicación de la desviación de los gases reales respecto del comportamiento ideal a baja temperatura y elevada presión.
1.3.AS6,1,1.3,Applications and skills,core,,Obtaining and using experimental values to calculate the molar mass of a gas from the ideal gas equation.,"Gas,Pressure law,Molar mass,Combustion analysis",Obtención y utilización de valores experimentales para calcular la masa molar de un gas a partir de la ecuación de los gases ideales.
1.3.AS7,1,1.3,Applications and skills,core,,"Solution of problems involving molar concentration, amount of solute and volume of solution.","Amount,Standard solution,Concentration,Solution,Molarity,Combustion analysis","Resolución de problemas que incluyan concentración molar, cantidad de soluto y volumen de solución."
1.3.AS8,1,1.3,Applications and skills,core,,Use of the experimental method of titration to calculate the concentration of a solution by reference to a standard solution.,"Titration,Standard solution,Solvent,Concentration,Solution,Primary standard,Back titration,Titration,Redox titration,Phenolphthalein",Uso de titulaciones como método experimental para calcular la concentración de una solución con respecto a una solución estándar.
1.3.G1,1,1.3,Guidance,core,,Values for the molar volume of an ideal gas are given in the data booklet in section 2.,"Pressure law,Molar gas volume",En la sección 2 del cuadernillo de datos se dan los valores del volumen molar de un gas ideal.
1.3.G2,1,1.3,Guidance,core,,"The ideal gas equation, PV = nRT , and the value of the gas constant (R) are given in the data booklet in sections 1 and 2.","Boyle’s law,Ideal gas constant,Ideal gas,Gas,Gas laws,Pressure law,Pressure,Pascal,Kelvin scale","En las secciones 1 y 2 del cuadernillo de datos se da la ecuación de los gases ideales, PV = nRT, y el valor de la constante de los gases (R)."
1.3.G3,1,1.3,Guidance,core,,"Units of concentration to include: g dm-3, mol dm-3 and parts per million (ppm).","Concentration,Parts per million,Molarity","Las unidades de concentración a tratar son: g dm-3, mol dm-3 y partes por millón (ppm)."
1.3.G4,1,1.3,Guidance,core,,The use of square brackets to denote molar concentration is required.,"Concentration,Concentrated,Dilute,Molarity",Para denotar la concentración molar es preciso usar corchetes.
1.3.IM1,1,1.3,International-mindedness,core,,"The SI unit of pressure is the Pascal (Pa), N m-2, but many other units remain in common usage in different countries. These include atmosphere (atm), millimetres of mercury (mm Hg), Torr, bar and pounds per square inch (psi). The bar (105 Pa) is now widely used as a convenient unit, as it is very close to 1 atm. The SI unit for volume is m3, although litre is a commonly used unit.","Atmosphere,Atmospheric pressure,SI Units","En el SI, la unidad de presión es el Pascal (Pa), N m-2, pero hay muchas otras unidades que se siguen utilizando habitualmente en diferentes países. Estas son la atmósfera (atm), milímetros de mercurio (mm Hg), Torr, el bar y las libras por pulgada cuadrada (psi). El bar (105 Pa) se usa ampliamente como unidad de conveniencia, puesto que es muy cercano a 1 atm. La unidad de volumen en el SI es el m3, aunque con frecuencia se usa el litro."
1.3.ToK1,1,1.3,Theory of Knowledge,core,,Assigning numbers to the masses of the chemical elements has allowed chemistry to develop into a physical science. Why is mathematics so effective in describing the natural world?,Mass number,Asignar números a las masas de los elementos químicos ha permitido que la química evolucionara hacia una ciencia física. ¿Por qué las matemáticas son tan efectivas para describir el mundo natural?
1.3.ToK2,1,1.3,Theory of Knowledge,core,,"The ideal gas equation can be deduced from a small number of assumptions of ideal behaviour. What is the role of reason, perception, intuition and imagination in the development of scientific models?",,"La ecuación de los gases ideales se puede deducir a partir de un pequeño número de supuestos sobre el comportamiento ideal. ¿Cuál es el papel de la razón, la percepción, la intuición y la imaginación en el desarrollo de modelos científicos?"
1.3.Uz1,1,1.3,Utilization,core,,"Gas volume changes during chemical reactions are responsible for the inflation of air bags in vehicles and are the basis of many other explosive reactions, such as the decomposition of TNT (trinitrotoluene).",Chemical reaction,"La variación del volumen de gas durante algunas reacciones químicas es responsable de que los airbags de los vehículos se inflen y son la base de otras reacciones explosivas, como la descomposición del TNT (trinitrotolueno)."
1.3.Uz2,1,1.3,Utilization,core,,The concept of percentage yield is vital in monitoring the efficiency of industrial processes.,,El concepto de rendimiento porcentual es vital para el control de la eficacia de procesos industriales.
1.3.Aims1,1,1.3,Aims,core,,Aim 6: Experimental design could include excess and limiting reactants. Experiments could include gravimetric determination by precipitation of an insoluble salt.,"Excess reactant,Limiting reactant,Quantitative analysis,Precipitate",Objetivo 6: El diseño experimental podría incluir reactivos en exceso y limitantes. Los experimentos podrían incluir la determinación gravimétrica de una sal insoluble por precipitación.
1.3.Aims2,1,1.3,Aims,core,,"Aim 7: Data loggers can be used to measure temperature, pressure and volume changes in reactions or to determine the value of the gas constant, R.",,"Objetivo 7: Se pueden usar registradores de datos para medir variaciones de temperatura, presión y volumen en reacciones o para determinar el valor de la constante de los gases, R."
1.3.Aims3,1,1.3,Aims,core,,"Aim 8: The unit parts per million, ppm, is commonly used in measuring small levels of pollutants in fluids. This unit is convenient for communicating very low concentrations, but is not a formal SI unit.","Concentration,Concentrated,Dilute,Parts per million,Quantitative analysis","Objetivo 8: La unidad parte por millón, ppm, se usa frecuentemente para medir niveles bajos de contaminantes en fluidos. Esta unidad es conveniente para comunicar valores muy bajos de concentración, aunque no es una unidad formal del SI."
2.1.NoS1,2,2.1,Nature of Science,core,,Evidence and improvements in instrumentation—alpha particles were used in the development of the nuclear model of the atom that was first proposed by Rutherford. (1.8),,Los desarrollos en la investigación científica son consecuencia del perfeccionamiento de los instrumentos: el uso de la electricidad y el magnetismo en los rayos catódicos de Thomson. (1.8)
2.1.NoS2,2,2.1,Nature of Science,core,,Paradigm shifts—the subatomic particle theory of matter represents a paradigm shift in science that occurred in the late 1800s. (2.3),,Cambios de paradigma: la teoría de las partículas subatómicas de la materia representa un cambio de paradigma en la ciencia que sucedió a finales del 1800. (2.3)
2.1.U1,2,2.1,Understandings,core,,Atoms contain a positively charged dense nucleus composed of protons and neutrons (nucleons).,"Atom,Effective nuclear charge,Electron,Nucleus,Shielding (of electrons),Neutron,Proton,Nuclear charge,Nucleon,Nuclide,Atomicity",Los átomos contienen un denso núcleo cargado positivamente compuesto por protones y neutrones (nucleones).
2.1.U2,2,2.1,Understandings,core,,Negatively charged electrons occupy the space outside the nucleus.,"Effective nuclear charge,Electron,Nucleus,Shielding (of electrons),Nuclear charge,Isoelectronic","Los electrones, cargados negativamente, ocupan el espacio exterior del núcleo."
2.1.U3,2,2.1,Understandings,core,,The mass spectrometer is used to determine the relative atomic mass of an element from its isotopic composition.,"Relative atomic mass,Chemical element,Isotope,Element,Isotope,Mass spectrometry,Mass spectrometer,Mass spectrum,Isotopic abundance,Mass spectrometer","Para determinar la masa atómica relativa de un elemento a partir de su composición isotópica, se usa el espectrómetro de masas."
2.1.AS1,2,2.1,Applications and skills,core,,"Use of the nuclear symbol notation ^{A}_{Z}X to deduce the number of protons, neutrons and electrons in atoms and ions.","Atom,Atomic number,Electron,Nucleus,Neutron,Proton,Atomicity","Uso de la notación nuclear A Z X para deducir el número de protones, neutrones y electrones en átomos e iones."
2.1.AS2,2,2.1,Applications and skills,core,,"Calculations involving non-integer relative atomic masses and abundance of isotopes from given data, including mass spectra.","Relative atomic mass,Isotope,Relative abundance,Isotope,Mass spectrometry,Mass spectrometer,Mass spectrum,Isotopic abundance,Mass spectrometer","Cálculos que impliquen masas atómicas relativas no enteras y abundancia de isótopos dados los datos, incluyendo espectros de masa."
2.1.G1,2,2.1,Guidance,core,,"Relative masses and charges of the subatomic particles should be known, actual values are given in section 4 of the data booklet. The mass of the electron can be considered negligible.",,Deben saber las masas relativas y las cargas de las partículas subatómicas; los valores reales se dan en la sección 4 del cuadernillo de datos. La masa del electrón se puede considerar despreciable.
2.1.G2,2,2.1,Guidance,core,,Specific examples of isotopes need not be learned.,"Isotope,Deuterium,Isotope,Isotopic abundance",No es necesario que aprendan ejemplos específicos de isótopos.
2.1.G3,2,2.1,Guidance,core,,The operation of the mass spectrometer is not required.,"Mass spectrometry,Mass spectrometer,Mass spectrum,Mass spectrometer",No es necesario que sepan el funcionamiento del espectrómetro de masas.
2.1.IM1,2,2.1,International-mindedness,core,,"Isotope enrichment uses physical properties to separate isotopes of uranium, and is employed in many countries as part of nuclear energy and weaponry programmes.","Isotope,Isotope",El enriquecimiento isotópico se basa en las propiedades físicas para separar los isótopos del uranio y se emplea en muchos países como parte de los programas de energía nuclear y armamento.
2.1.ToK1,2,2.1,Theory of Knowledge,core,,"Richard Feynman: “If all of scientific knowledge were to be destroyed and only one sentence passed on to the next generation, I believe it is that all things are made of atoms.” Are the models and theories which scientists create accurate descriptions of the natural world, or are they primarily useful interpretations for prediction, explanation and control of the natural world?",,"Richard Feynman: “Si todo el conocimiento científico fuera a ser destruido y solo una frase pasara a la generación siguiente, creo que la frase sería que todas las cosas están formadas por átomos”. ¿Son los modelos y teorías que crean los científicos descripciones exactas del mundo natural, o constituyen interpretaciones primarias útiles para la predicción, explicación y control del mundo natural?"
2.1.ToK2,2,2.1,Theory of Knowledge,core,,"No subatomic particles can be (or will be) directly observed. Which ways of knowing do we use to interpret indirect evidence, gained through the use of technology?",,Ninguna partícula subatómica puede (o podrá) ser observada directamente. ¿Qué formas de conocimiento usamos para interpretar la evidencia indirecta que se obtiene por medio de la tecnología?
2.1.Uz1,2,2.1,Utilization,core,,"Radioisotopes are used in nuclear medicine for diagnostics, treatment and research, as tracers in biochemical and pharmaceutical research, and as “chemical clocks” in geological and archaeological dating.","Clock reaction,Carbon-14 dating","Los radioisótopos se usan en medicina nuclear para diagnóstico, tratamiento e investigación, como trazadores en la investigación bioquímica y farmacéutica y como “relojes químicos” en datación geológica y arqueológica."
2.1.Uz2,2,2.1,Utilization,core,,"PET (positron emission tomography) scanners give three-dimensional images of tracer concentration in the body, and can be used to detect cancers.",,"Los escáneres de tomografía por emisión de positrones (PET) proporcionan imágenes tridimensionales de la concentración de trazadores (radiofármacos) en el organismo, y se pueden usar para detectar cánceres."
2.1.Aims1,2,2.1,Aims,core,,Aim 7: Simulations of Rutherford’s gold foil experiment can be undertaken,,Objetivo 7: Se pueden realizar simulaciones del experimento de Rutherford de la lámina de oro.
2.1.Aims2,2,2.1,Aims,core,,Aim 8: Radionuclides carry dangers to health due to their ionizing effects on cells.,,Objetivo 8: Los radionúclidos acarrean peligros para la salud debido a sus efectos ionizantes sobre las células.
2.2.NoS1,2,2.2,Nature of Science,core,,Developments in scientific research follow improvements in apparatus—the use of electricity and magnetism in Thomson’s cathode rays.(1.8),,Los desarrollos en la investigación científica son consecuencia del perfeccionamiento de los instrumentos: el uso de la electricidad y el magnetismo en los rayos catódicos de Thomson. (1.8)
2.2.NoS2,2,2.2,Nature of Science,core,,Theories being superseded—quantum mechanics is among the most current models of the atom. (1.9),,"Las teorías son suplantadas: la mecánica cuántica es, entre otras cosas, el modelo más actual del átomo. (1.9)"
2.2.NoS3,2,2.2,Nature of Science,core,,Use theories to explain natural phenomena—line spectra explained by the Bohr model of the atom. (2.2),"Atomic theory,Bohr theory,Orbit",Uso de teorías para explicar fenómenos naturales: el espectro de líneas según el modelo atómico de Bohr. (2.2)
2.2.U1,2,2.2,Understandings,core,,Emission spectra are produced when photons are emitted from atoms as excited electrons return to a lower energy level.,"Electron transition,Emission spectroscopy,Promotion,Photon,Ground state,Emission spectrum,Energy levels,Excited state",Los espectros de emisión se deben a la emisión de fotones que se produce cuando los electrones excitados vuelven a un nivel energético inferior.
2.2.U2,2,2.2,Understandings,core,,"The line emission spectrum of hydrogen provides evidence for the existence of electrons in discrete energy levels, which converge at higher energies.","Convergence,Convergence limit,Hydrogen Emission Spectrum,Ground state,Line spectrum,Energy levels","El espectro de emisión de líneas del hidrógeno constituye una evidencia de que los electrones se hallan en niveles energéticos discretos, que convergen a energía más elevada."
2.2.U3,2,2.2,Understandings,core,,"The main energy level or shell is given an integer number, n, and can hold a maximum number of electrons, 2n^{2}.","Shells,Promotion,Ground state,Energy levels,Noble gas configuration","El nivel energético principal o capa está dado por un número entero, n, que puede contener un número máximo de electrones, 2n2."
2.2.U4,2,2.2,Understandings,core,,"A more detailed model of the atom describes the division of the main energy level into s, p, d and f sub-levels of successively higher energies.","Sub-level,Sub-atomic particles,d orbitals,Degenerate (Orbitals),p orbital,Orbital,Noble gas configuration","Un modelo más detallado del átomo describe la división del nivel energético principal en subniveles s, p, d y f de energías sucesivamente mayores."
2.2.U5,2,2.2,Understandings,core,,"Sub-levels contain a fixed number of orbitals, regions of space where there is a high probability of finding an electron.","Sub-level,d orbitals,Degenerate (Orbitals),s orbital,Orbital","Los subniveles contienen un número fijo de orbitales, regiones del espacio donde existe una elevada probabilidad de encontrar un electrón."
2.2.U6,2,2.2,Understandings,core,,Each orbital has a defined energy state for a given electronic configuration and chemical environment and can hold two electrons of opposite spin.,"d orbitals,Degenerate (Orbitals),Electron configuration,s orbital,Orbital","Cada orbital tiene un nivel energético definido para una configuración electrónica dada y ambiente químico, y es capaz de alojar dos electrones con spin opuesto."
2.2.AS1,2,2.2,Applications and skills,core,,"Description of the relationship between colour, wavelength, frequency and energy across the electromagnetic spectrum.","Electromagnetic wave,Frequency,Wavelength,Electromagnetic spectrum,Spectral series,Spectral line,Ground state,Excited state,Complementary colours","Descripción de la relación entre color, longitud de onda, frecuencia y energía en el espectro electromagnético."
2.2.AS2,2,2.2,Applications and skills,core,,Distinction between a continuous spectrum and a line spectrum.,"Spectral series,Spectral line,Continuous spectrum,Line spectrum,Excited state",Diferenciación entre un espectro continuo y un espectro de líneas.
2.2.AS3,2,2.2,Applications and skills,core,,"Description of the emission spectrum of the hydrogen atom, including the relationships between the lines and energy transitions to the first, second and third energy levels.","Emission spectrum,Line spectrum,Energy levels","Descripción del espectro de emisión del átomo de hidrógeno, incluyendo las relaciones entre las líneas y las transiciones energéticas a los niveles energéticos primero, segundo y tercero."
2.2.AS4,2,2.2,Applications and skills,core,,"Recognition of the shape of an s atomic orbital and the px, py and pz atomic orbitals.","Degenerate (Orbitals),s orbital,p orbital,Orbital","Reconocimiento de la forma de un orbital atómico s y de los orbitales atómicos px, py y pz."
2.2.AS5,2,2.2,Applications and skills,core,,"Application of the Aufbau principle, Hund’s rule and the Pauli exclusion principle to write electron configurations for atoms and ions up to Z = 36.","Aufbau principle,Hund’s rule,Pauli Exclusion Principle,Noble gas configuration","Aplicación del principio de Aufbau, la regla de Hund y el principio de exclusión de Pauli para escribir configuraciones electrónicas de átomos e iones hasta Z = 36."
2.2.G1,2,2.2,Guidance,core,,Details of the electromagnetic spectrum are given in the data booklet in section 3.,"Electromagnetic wave,Frequency,Gamma waves/radiation (or rays),Electromagnetic spectrum,Spectral series,Spectral line,Radiation",Los detalles del espectro electromagnético se dan en la sección 3 del cuadernillo de datos.
2.2.G2,2,2.2,Guidance,core,,The names of the different series in the hydrogen line emission spectrum are not required.,"Spectral series,Spectral line,Line spectrum",No se requiere saber los nombres de las diferentes series del espectro de emisión de líneas del hidrógeno.
2.2.G3,2,2.2,Guidance,core,,Full electron configurations (eg 1s^{2}2s^{2}2p^{6}3s^{2}3p^{4}) and condensed electron configurations (eg [Ne] 3s^{2}3p^{4}) should be covered.,"Electron configuration,Noble gas configuration",Se deben incluir las configuraciones electrónicas completas (p. ej. 1s22s22p63s23p4) y las configuraciones electrónicas condensadas (p. ej. [Ne] 3s23p4).
